nsb,Timestamp_UTC,Timestamp_local
20.2275,2024-08-02 03:00:00,2024-08-01 22:00:00
20.225,2024-08-02 04:00:00,2024-08-01 23:00:00
20.220000000000002,2024-08-02 05:00:00,2024-08-02 00:00:00
20.0975,2024-08-02 06:00:00,2024-08-02 01:00:00
20.302500000000002,2024-08-02 07:00:00,2024-08-02 02:00:00
20.37,2024-08-02 08:00:00,2024-08-02 03:00:00
20.4375,2024-08-02 09:00:00,2024-08-02 04:00:00
20.4275,2024-08-02 10:00:00,2024-08-02 05:00:00
15.450000000000001,2024-08-02 11:00:00,2024-08-02 06:00:00
11.84,2024-08-03 01:00:00,2024-08-02 20:00:00
18.552500000000002,2024-08-03 02:00:00,2024-08-02 21:00:00
20.1225,2024-08-03 03:00:00,2024-08-02 22:00:00
20.135,2024-08-03 04:00:00,2024-08-02 23:00:00
20.125,2024-08-03 05:00:00,2024-08-03 00:00:00
20.18,2024-08-03 06:00:00,2024-08-03 01:00:00
20.25,2024-08-03 07:00:00,2024-08-03 02:00:00
20.294999999999998,2024-08-03 08:00:00,2024-08-03 03:00:00
20.305,2024-08-03 09:00:00,2024-08-03 04:00:00
20.225,2024-08-03 10:00:00,2024-08-03 05:00:00
15.563333333333333,2024-08-03 11:00:00,2024-08-03 06:00:00
12.25,2024-08-04 01:00:00,2024-08-03 20:00:00
18.55,2024-08-04 02:00:00,2024-08-03 21:00:00
19.7625,2024-08-04 03:00:00,2024-08-03 22:00:00
19.89,2024-08-04 04:00:00,2024-08-03 23:00:00
19.9825,2024-08-04 05:00:00,2024-08-04 00:00:00
19.415,2024-08-04 06:00:00,2024-08-04 01:00:00
19.08,2024-08-04 07:00:00,2024-08-04 02:00:00
19.5975,2024-08-04 08:00:00,2024-08-04 03:00:00
19.945,2024-08-04 09:00:00,2024-08-04 04:00:00
19.7825,2024-08-04 10:00:00,2024-08-04 05:00:00
15.056666666666667,2024-08-04 11:00:00,2024-08-04 06:00:00
12.32,2024-08-05 01:00:00,2024-08-04 20:00:00
18.8225,2024-08-05 02:00:00,2024-08-04 21:00:00
20.142500000000002,2024-08-05 03:00:00,2024-08-04 22:00:00
20.137500000000003,2024-08-05 04:00:00,2024-08-04 23:00:00
